"id";"parent_id";"path";"name";"permission";"type";"icon";"order_no";"component";"keep_alive";"show";"status";"created_at";"updated_at";"is_ext";"ext_open_mode";"active_menu";"create_by";"update_by"
1;0;"/system";"系统管理";"";0;"ant-design:setting-outlined";254;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
2;1;"/system/user";"用户管理";"system:user:list";1;"ant-design:user-outlined";0;"system/user/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
3;1;"/system/role";"角色管理";"system:role:list";1;"ep:user";1;"system/role/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
4;1;"/system/menu";"菜单管理";"system:menu:list";1;"ep:menu";2;"system/menu/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
5;1;"/system/monitor";"系统监控";"";0;"ep:monitor";5;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
6;5;"/system/monitor/online";"在线用户";"system:online:list";1;"";0;"system/monitor/online/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
7;5;"/sys/monitor/login-log";"登录日志";"system:log:login:list";1;"";0;"system/monitor/log/login/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
8;5;"/system/monitor/serve";"服务监控";"system:serve:stat";1;"";4;"system/monitor/serve/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
9;1;"/system/schedule";"任务调度";"";0;"ant-design:schedule-filled";6;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
10;9;"/system/task";"任务管理";"";1;"";0;"system/schedule/task/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
11;9;"/system/task/log";"任务日志";"system:task:list";1;"";0;"system/schedule/log/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
12;0;"/document";"文档";"";0;"ion:tv-outline";3;"";0;0;1;"2023-11-10 00:31:44.023393";"2024-12-18 18:17:09.000000";0;1;"";0;1
14;12;"https://www.typeorm.org/";"Typeorm中文文档(外链)";"";1;"";3;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";1;1;"";0;0
15;12;"https://docs.nestjs.cn/";"Nest.js中文文档(内嵌)";"";1;"";4;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";1;2;"";0;0
20;2;"";"新增";"system:user:create";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-12-19 21:43:52.000000";0;1;"";0;1
21;2;"";"删除";"system:user:delete";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
22;2;"";"更新";"system:user:update";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
23;2;"";"查询";"system:user:read";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
24;3;"";"新增";"system:role:create";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-12-19 21:44:40.000000";0;1;"";0;1
25;3;"";"删除";"system:role:delete";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
26;3;"";"修改";"system:role:update";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
27;3;"";"查询";"system:role:read";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
28;4;"";"新增";"system:menu:create";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
29;4;"";"删除";"system:menu:delete";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
30;4;"";"修改";"system:menu:update";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
31;4;"";"查询";"system:menu:read";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
32;6;"";"下线";"system:online:kick";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
34;10;"";"新增";"system:task:create";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
35;10;"";"删除";"system:task:delete";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
36;10;"";"执行一次";"system:task:once";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
37;10;"";"查询";"system:task:read";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
38;10;"";"运行";"system:task:start";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
39;10;"";"暂停";"system:task:stop";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
40;10;"";"更新";"system:task:update";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
41;7;"";"查询登录日志";"system:log:login:list";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
42;7;"";"查询任务日志";"system:log:task:list";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
43;0;"/about";"关于";"";1;"ant-design:info-circle-outlined";260;"account/about";0;0;1;"2023-11-10 00:31:44.023393";"2024-12-19 18:55:15.000000";0;1;"";0;1
48;0;"/tool";"系统工具";"";0;"ant-design:tool-outlined";254;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
49;48;"/tool/email";"邮件工具";"system:tools:email";1;"ant-design:send-outlined";1;"tool/email/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
50;49;"";"发送邮件";"tools:email:send";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
51;48;"/tool/storage";"存储管理";"tool:storage:list";1;"ant-design:appstore-outlined";2;"tool/storage/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
52;51;"";"文件上传";"upload:upload";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
53;51;"";"文件删除";"tool:storage:delete";2;"";2;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
54;2;"";"修改密码";"system:user:password";2;"";5;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
56;1;"/system/dict-type";"字典管理";"system:dict-type:list";1;"ant-design:book-outlined";4;"system/dict-type/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
57;56;"";"新增";"system:dict-type:create";2;"";1;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
58;56;"";"更新";"system:dict-type:update";2;"";2;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
59;56;"";"删除";"system:dict-type:delete";2;"";3;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
60;56;"";"查询";"system:dict-type:info";2;"";4;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
61;1;"/system/dept";"部门管理";"system:dept:list";1;"ant-design:deployment-unit-outlined";3;"system/dept/index";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
62;61;"";"新增";"system:dept:create";2;"";1;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
63;61;"";"更新";"system:dept:update";2;"";2;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
64;61;"";"删除";"system:dept:delete";2;"";3;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
65;61;"";"查询";"system:dept:read";2;"";4;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
68;5;"/health";"健康检查";"";1;"";4;"";0;0;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
69;68;"";"网络";"app:health:network";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
70;68;"";"数据库";"app:health: database";2;"";0;"";0;1;1;"2023-11-10 00:31:44.023393";"2024-02-28 22:05:52.102649";0;1;"";0;0
86;1;"/param-config";"参数配置";"system:param-config:list";1;"ep:edit";255;"system/param-config/index";0;1;1;"2024-01-10 17:34:52.569663";"2024-01-19 02:11:27.000000";0;1;"";0;0
87;86;"";"查询";"system:param-config:read";2;"";255;"";0;1;1;"2024-01-10 17:39:20.983241";"2024-02-28 22:05:52.102649";0;1;"";0;0
88;86;"";"新增";"system:param-config:create";2;"";255;"";0;1;1;"2024-01-10 17:39:57.543510";"2024-02-28 22:05:52.102649";0;1;"";0;0
89;86;"";"更新";"system:param-config:update";2;"";255;"";0;1;1;"2024-01-10 17:40:27.355944";"2024-02-28 22:05:52.102649";0;1;"";0;0
92;86;"";"删除";"system:param-config:delete";2;"";255;"";0;1;1;"2024-01-10 17:57:32.059887";"2024-02-28 22:05:52.102649";0;1;"";0;0
107;1;"system/dict-item/:id";"字典项管理";"system:dict-item:list";1;"ant-design:facebook-outlined";255;"system/dict-item/index";0;0;1;"2024-01-28 09:21:17.409532";"2024-01-30 13:09:47.000000";0;1;"字典管理";0;0
108;107;"";"新增";"system:dict-item:create";2;"";255;"";0;1;1;"2024-01-28 09:22:39.401758";"2024-02-28 22:05:52.102649";0;1;"";0;0
109;107;"";"更新";"system:dict-item:update";2;"";255;"";0;1;1;"2024-01-28 09:26:43.911886";"2024-02-28 22:05:52.102649";0;1;"";0;0
110;107;"";"删除";"system:dict-item:delete";2;"";255;"";0;1;1;"2024-01-28 09:27:28.535225";"2024-02-28 22:05:52.102649";0;1;"";0;0
111;107;"";"查询";"system:dict-item:info";2;"";255;"";0;1;1;"2024-01-28 09:27:43.894820";"2024-02-28 22:05:52.102649";0;1;"";0;0
112;12;"https://antdv.com/components/overview-cn";"antdv文档(内嵌)";"";1;"";255;"";0;1;1;"2024-01-29 09:23:08.407723";"2024-02-28 22:05:52.102649";1;2;"";0;0
115;0;"netdisk";"文件中心";"";0;"ant-design:cloud-server-outlined";255;"";0;0;1;"2024-02-10 08:00:02.394616";"2024-12-19 18:54:53.000000";0;1;"";0;1
116;115;"manage";"文件管理";"netdisk:manage:list";1;"";252;"netdisk/manage";0;1;1;"2024-02-10 08:03:49.837348";"2024-02-10 09:34:41.000000";0;1;"";0;0
117;116;"";"创建文件或文件夹";"netdisk:manage:create";2;"";255;"";0;1;1;"2024-02-10 08:40:22.317257";"2024-02-28 22:05:52.102649";0;1;"";0;0
118;116;"";"查看文件";"netdisk:manage:read";2;"";255;"";0;1;1;"2024-02-10 08:41:22.008015";"2024-02-28 22:05:52.102649";0;1;"";0;0
119;116;"";"更新";"netdisk:manage:update";2;"";255;"";0;1;1;"2024-02-10 08:41:50.691643";"2024-02-28 22:05:52.102649";0;1;"";0;0
120;116;"";"删除";"netdisk:manage:delete";2;"";255;"";0;1;1;"2024-02-10 08:42:09.480601";"2024-02-28 22:05:52.102649";0;1;"";0;0
121;116;"";"获取文件上传token";"netdisk:manage:token";2;"";255;"";0;1;1;"2024-02-10 08:42:57.688104";"2024-02-28 22:05:52.102649";0;1;"";0;0
122;116;"";"添加文件备注";"netdisk:manage:mark";2;"";255;"";0;1;1;"2024-02-10 08:43:40.117321";"2024-02-28 22:05:52.102649";0;1;"";0;0
123;116;"";"下载文件";"netdisk:manage:download";2;"";255;"";0;1;1;"2024-02-10 08:44:01.338984";"2024-02-28 22:05:52.102649";0;1;"";0;0
124;116;"";"重命名文件或文件夹";"netdisk:manage:rename";2;"";255;"";0;1;1;"2024-02-10 08:44:27.233379";"2024-02-28 22:05:52.102649";0;1;"";0;0
125;116;"";"复制文件或文件夹";"netdisk:manage:copy";2;"";255;"";0;1;1;"2024-02-10 08:44:44.725391";"2024-02-28 22:05:52.102649";0;1;"";0;0
126;116;"";"剪切文件或文件夹";"netdisk:manage:cut";2;"";255;"";0;1;1;"2024-02-10 08:45:21.660511";"2024-02-28 22:05:52.102649";0;1;"";0;0
127;115;"overview";"磁盘监控";"netdisk:overview:desc";1;"";254;"netdisk/overview";0;0;1;"2024-02-10 09:32:56.981190";"2024-12-19 18:53:05.000000";0;1;"";0;1
133;0;"/codes";"编码管理";"";0;"ant-design:aim-outlined";255;"";1;0;1;"2024-12-15 16:35:07.987137";"2024-12-19 17:42:48.000000";0;1;"";1;1
134;133;"/profession";"装置专业编号";"";1;"ant-design:aliyun-outlined";255;"code-manage/code";0;1;1;"2024-12-15 16:36:40.129286";"2024-12-15 16:36:40.129286";0;1;"";1;0
136;0;"/workspce";"工作台";"";1;"ant-design:bank-filled";1;"workspace/index";0;1;1;"2024-12-16 16:53:23.194660";"2024-12-16 16:53:41.000000";0;1;"";1;1
142;0;"/template";"模板管理";"";0;"ant-design:merge-cells-outlined";255;"";1;1;1;"2024-12-19 21:17:50.571492";"2024-12-20 10:57:28.000000";0;1;"";1;1
143;142;"/template/excel";"Excel模板";"";1;"ant-design:file-excel-outlined";255;"template-manage/excel/index";0;1;1;"2024-12-19 21:18:19.932358";"2024-12-20 18:34:26.000000";0;1;"";1;1
144;143;"";"删除";"template:excel:delete";2;"";255;"";1;1;0;"2024-12-19 21:38:52.273185";"2024-12-20 11:02:34.000000";0;1;"";1;1
145;143;"";"编辑";"template:excel:edit";2;"";255;"";1;1;0;"2024-12-20 11:01:26.024619";"2024-12-20 11:02:49.000000";0;1;"";1;1
146;142;"/template/word";"Word模板";"";1;"ant-design:file-word-outlined";255;"template-manage/word/index";0;1;1;"2024-12-20 18:33:57.018532";"2024-12-20 18:33:57.018532";0;1;"";1;0
147;143;"";"内置创建";"template:excel:buildin";2;"";255;"";1;1;1;"2024-12-24 11:23:21.679651";"2024-12-24 13:24:11.000000";0;1;"";1;1
152;146;"";"下载模板";"template:word:download";2;"";255;"";1;1;1;"2024-12-30 14:15:25.639918";"2024-12-30 14:15:25.639918";0;1;"";1;0
153;146;"";"删除模板";"template:word:delete";2;"";255;"";1;1;1;"2024-12-30 14:16:20.863287";"2024-12-30 14:16:20.863287";0;1;"";1;0
154;0;"/project";"项目管理";"";0;"ep:grid";2;"";1;1;1;"2024-12-30 18:40:13.969049";"2024-12-30 18:40:34.000000";0;1;"";1;1
155;154;"/project/consult";"咨询合同台帐";"";1;"ant-design:control-outlined";1;"project/contract-consult/index";0;1;1;"2024-12-30 18:42:34.512240";"2024-12-30 18:42:34.512240";0;1;"";1;0
156;154;"/project/ledger";"对外-合同台账";"";1;"ant-design:control-filled";255;"project/contract-ledger/index";0;1;1;"2024-12-30 18:43:48.983296";"2024-12-30 18:43:48.983296";0;1;"";1;0
157;0;"/human";"人力管理";"";0;"ant-design:user-switch-outlined";3;"";1;1;1;"2024-12-30 18:45:35.783980";"2024-12-30 18:45:35.783980";0;1;"";1;0
158;157;"/human/info";"人员信息";"";1;"ant-design:info-circle-twotone";255;"human-manage/users/index";0;1;1;"2024-12-30 18:46:23.660387";"2024-12-30 18:46:23.660387";0;1;"";1;0
159;0;"/finance";"财务管理";"";0;"ant-design:money-collect-outlined";3;"";1;1;1;"2024-12-30 19:01:19.348549";"2024-12-30 19:01:19.348549";0;1;"";1;0
160;159;"/finance/invoice";"发票管理";"";1;"ant-design:red-envelope-outlined";255;"financial-management/invoice/generate";0;1;1;"2024-12-30 19:04:05.312662";"2024-12-30 19:05:07.000000";0;1;"";1;1
161;159;"/finance/outvalue";"产值信息";"";1;"ep:money";255;"financial-management/outputvalue/index";0;1;1;"2024-12-30 19:06:26.494048";"2024-12-30 19:06:35.000000";0;1;"";1;1
162;1;"/system/flow/design";"流程设计";"";1;"ant-design:fork-outlined";255;"system/flow-design/index";0;1;1;"2025-01-08 12:28:55.906198";"2025-01-08 12:28:55.906198";0;1;"";1;0
